"","ME6","ME4","ME5","ME7","ME3","ME1","ME2","ME0"
"R42016-138pf_103-IR_L5",-0.00283321035051126,0.0163425289438469,0.0071851113010832,-0.00249372577428332,-0.0116761024357425,-0.00932164112675532,-0.00932003120231772,-0.0137536468821904
"R42015-535pf_104-IR_L5",0.00683883148796506,0.0201888703712416,0.013866194991539,0.00855716763238478,-0.00895483591008989,0.00219675859939373,0.00133029052725193,-0.0152872746396197
"R42015-492pf_105-IR_L2",-0.00823546107748023,0.0133249451232111,0.00532178037530738,0.0130117728996452,-0.00775205793881166,-0.0367325942006156,0.0303316465585448,0.000979112481181224
"R42016-139pf_106-IR_L5",-0.0184841176643901,0.00759356295518259,-0.00398077282655019,-0.0259513892265641,-0.0129321660121975,-0.0299413578360606,-0.0400273034373761,-0.0318328911545024
"R42016-140pf_107-IR_L5",-0.00577089790917582,0.011014996418106,0.0070758669175586,-0.00757915619702854,-0.00636015355585938,-0.00901416842151054,-0.0301605471701531,0.0136833320478379
"R42016-141pf_108-IR_L5",0.000159441539712802,0.0125592338824805,0.00548010910689393,-0.00853102148912387,-0.0130415908031217,0.000589649572062799,-0.0366806429011084,-0.0121776134004741
"R42016-142pf_109-IR_L5",-0.00200201737906195,0.0147127616893959,0.0063409788187812,-0.0122486729153042,-0.0118292353796246,-0.0112631171297179,-0.0293618579509441,-0.0123371686465295
"R42016-092pf_11-IR_L1",-0.00664199591142463,0.0158725826649203,0.0050851596570355,-0.0126518809620459,-0.0108129567590486,-0.0172495062608826,-0.0307973882668296,-0.0149588124827909
"R42016-143pf_110-IR_L5",0.0038574515989331,0.0158727635549701,0.0101812755238116,-0.00149469985051029,-0.0110806635352702,0.00553869239729382,-0.0156747244573915,-0.0205963057733515
"R42015-493pf_111-IR_L2",-0.0149058719989353,0.00737182766938023,-0.0043616522997489,0.0020074772862075,-0.0126024359155463,-0.0415355005864566,0.0198826703817233,-0.0333952701215959
"R42015-536pf_112-IR_L5",-0.0107366390446188,0.0102821339923484,0.00174923954132513,-0.00530881064056969,-0.0107315113125133,-0.0189118759892049,-0.0211975132894078,-0.022943377935022
"R42016-144pf_113-IR_L5",0.00713512176836309,0.0201200080963099,0.0146584397049628,0.00106041966185715,-0.00776519179164852,0.00278643018973736,-0.00624103777832179,0.00324201549382797
"R42015-494pf_114-IR_L2",0.0145121700511604,0.0210312917196015,0.022265037472717,0.0169969624975238,-0.00601608736893769,-0.00890289511564278,0.0344376897971877,0.0335723534890913
"R42016-145pf_115-IR_L6",0.0209162532344514,0.0240894725598916,0.0209420748196648,0.0161913448134024,-0.00902226722794245,0.0188781698172639,0.00475951406611009,0.00277219480413797
"R42016-146pf_116-IR_L6",-0.0229955924033729,0.00246346130082509,-0.011167040752822,-0.0244425741177031,-0.0150962582246837,-0.0278756084337033,-0.0504886604899817,-0.0520528685839461
"R42016-147pf_117-IR_L6",-0.00387429598871523,0.0145785371905051,0.00579052863017799,-0.0126315375083212,-0.0108492590884696,-0.00660736877624747,-0.0405384721730464,-0.00723634588506707
"R42016-148pf_118-IR_L6",-0.014479700141012,0.00755118156764363,-0.00717958508597373,-0.0260145684431714,-0.0145875472262416,-0.0164401959887677,-0.0634501579139738,-0.0478512268479872
"R42016-149pf_119-IR_L6",-0.0167815426348829,0.00797842895863567,-0.00648458683267928,-0.0287037837017049,-0.013986946425922,-0.0229648386683099,-0.0607246211240286,-0.0306019211290114
"R42015-481pf_12-IR_L1",-0.280381035166783,-0.117690659385059,-0.180011307209007,-0.261624472823058,-0.0262987980483955,-0.454645271549591,-0.287409721640193,-0.29294453527713
"R42016-150pf_120-IR_L6",-0.0170252040021143,0.00910536869594686,-0.00626633992539322,-0.0187693804462904,-0.0151163350971346,-0.0286271619849432,-0.0401137834706092,-0.0338903299931834
"R42016-151pf_121-IR_L6",-0.0145083627723655,0.00744728925269701,-0.00533239104918481,-0.0155256130103823,-0.0123497414885343,-0.0275362755572222,-0.027938119365365,-0.0185925549599254
"R42015-495pf_122-IR_L2",-0.00271206905928319,0.0145749183941162,0.0066901925439437,0.0122472607615608,-0.0126346461394649,-0.0246543267691898,0.022351226373702,-0.0175424476922247
"R42016-152pf_123-IR_L6",-0.00784231097483443,0.0120085217450376,-0.00169764652731244,-0.0165872465883001,-0.0131869234193087,-0.0148874914558904,-0.0403814038307157,-0.0349566333617215
"R42016-153pf_124-IR_L6",-0.0236706396444223,-0.00152635564610833,-0.0156034306576123,-0.0148624637470781,-0.0133768519081983,-0.0331905796851066,-0.0344064071685971,-0.0358024741941186
