"","ME6","ME4","ME5","ME7","ME3","ME1","ME2","ME0"
"R42015-235pf_258-IR_L5",0.00659807520812589,0.0188706414341834,0.0144855374484619,0.000866002117986706,-0.00775734183841486,-0.0146909137558776,0.00704033734272071,0.0169176370694078
"R42015-236pf_259-IR_L5",-0.0140184911124462,0.00822349157296727,-0.00410213749297856,-0.00944592870579198,-0.0131134230739783,-0.0405880115060224,-0.001116843507287,-0.0222965958815672
"R42016-100pf_26-IR_L2",-0.011009379935709,0.0104524502704802,0.0012358403294356,-0.023556487142512,-0.0135393275508883,-0.0193404813096659,-0.0550953471333147,-0.022920582127081
"R42015-237pf_261-IR_L5",-0.0303499413271171,5.43044431755254e-05,-0.02327647440393,-0.0164062929405671,-0.0165236338168526,-0.0541970245955023,-0.0170685836685845,-0.059958914280241
"R42015-238pf_262-IR_L5",-0.0110197901286959,0.0105777399549143,-0.00545924007042157,-0.00238632808489709,-0.0139856361000044,-0.02452594856965,0.00211158123537906,-0.0338862892615328
"R42015-239pf_263-IR_L5",-0.0385245224942075,-0.00727546184155557,-0.0280518290556111,-0.0231785131586691,-0.0184522250077105,-0.0649055770117694,-0.0208008357618002,-0.0736383475130946
"R42015-240pf_264-IR_L5",-0.00333785997015059,0.0117805969872114,0.00644876710307394,-0.00605994699430272,-0.0128208460745279,-0.0286863043930059,-0.00397733325938859,-0.00512238295676745
"R42015-241pf_265-IR_L5",-0.0100867871132067,0.00932061374141255,0.0018335067798446,-0.0127954308852859,-0.0124061999722125,-0.0221232561487522,-0.0274327349654427,-0.0254204078387999
"R42015-242pf_266-IR_L6",-0.0111672050531139,0.00847001728910184,-0.00514973028843162,-0.0126896413410606,-0.0152559734517527,-0.0214249402657601,-0.0283819679649015,-0.0423830827921823
"R42015-243pf_267-IR_L6",-0.00334892235242539,0.0137639670691868,0.00496087222344448,-0.00733328447526846,-0.0117212352168594,-0.011212584002605,-0.0188267950770827,-0.00951129137447836
"R42015-244pf_268-IR_L6",-0.00981806697705215,0.0120725000950975,0.00123590323016555,-0.00912695048306812,-0.0123912835362519,-0.027813974126192,-0.0119923811240725,-0.0260488754936756
"R42015-245pf_269-IR_L6",-0.00891303843844443,0.00638214572419096,-0.00153068205792724,-0.00410245391389514,-0.0116656289935569,-0.0317690159217191,-0.00349322167995727,-0.014069064250631
"R42015-424pf_27-IR_L8",0.00461499684870961,0.0184152913654982,0.0126250425692932,-0.00674017827709964,-0.0076918499637608,0.000282632918905346,-0.0248171491372132,-0.00215753034593201
"R42015-246pf_270-IR_L6",-0.00231618957110841,0.0121965328853413,0.00401408425873593,-0.000394448794529434,-0.0124181689102023,-0.0127439494215245,-0.00827597800675259,-0.0229959385315336
"R42015-247pf_271-IR_L6",0.000517138703289891,0.0157936298392352,0.00689723416753888,-0.00323404716233992,-0.0121312586791335,-0.00768603824848966,-0.00755954659670383,-0.0265208764460492
"R42015-248pf_272-IR_L6",0.00491973154742153,0.0151776371136838,0.00880606211590989,0.000390582092029299,-0.0113295029845799,-0.00856305461356572,-0.0023703504610157,-0.00369622205478533
"R42015-249pf_273-IR_L6",-0.000137393744743255,0.0135214103235328,0.00646727400934902,-0.00478412808601109,-0.0116696992907596,-0.0163162869773179,-0.0211819769195329,-0.0175161906545236
"R42015-250pf_274-IR_L6",-0.0015050369882781,0.0151980033584912,0.00786925785851848,-0.00873867096085582,-0.0110915913723943,-0.0186442912193192,-0.0145852843062198,-0.0147031902118634
"R42015-251pf_275-IR_L6",0.0110151460717101,0.0224766372084359,0.0183310769174122,0.00831158210790315,-0.00696939014311729,0.00657814294001961,0.0066613131868816,-1.01207195675485e-05
"R42015-253pf_276-IR_L6",0.0133602907866588,0.017761364757846,0.0110730962677695,0.0170471900683155,-0.00915326782237852,0.000767334622384579,0.0245155280981649,-0.00296128266110678
"R42015-252pf_277-IR_L6",-0.000480108475214883,0.0128765596809523,0.00608264355014042,-0.00867459177357914,-0.0107209634815522,-0.01241226638018,-0.0133377209305425,-0.0077688557012809
"R42015-254pf_278-IR_L7",-5.97080731197455e-05,0.0152352734335031,0.00625140442715341,-0.00528727347382608,-0.0104788771620305,-0.013581220375463,-0.00903189388559502,-0.0199881619377139
"R42015-255pf_279-IR_L7",-0.0161993962710428,0.00207931848447286,-0.00483314250346577,0.000999587630005442,-0.0132050576522272,-0.0248584097298457,0.00110948240369882,-0.030704369536356
"R42015-425pf_28-IR_L8",0.00892903833601739,0.0195771085472774,0.0126611548061268,0.00680192036157521,-0.00998184141424384,0.00186362458057629,0.000491328008580921,-0.00692910100635287
"R42015-256pf_280-IR_L7",-7.90500802172442e-06,0.0124098819771665,0.00387317004426186,-0.00673398926983371,-0.0135469594510567,-0.0128155733005797,-0.0130645946617256,-0.0233642293472017
"R42015-257pf_281-IR_L7",-0.0121227874262362,0.0116412393501131,0.0031557523193348,-0.0237608800956175,-0.0123638334799686,-0.0278386092915866,-0.0388933610316358,-0.0143193880043741
"R42015-258pf_282-IR_L7",-0.0124629830307476,0.0109937505971848,0.00152676778403162,-0.0146929454284702,-0.0116843554072673,-0.0253023476995801,-0.0261085351066392,-0.0064438479984903
"R42015-259pf_283-IR_L7",-0.0067366936713654,0.0083524670286678,-0.00118825027170594,-0.0016623724846572,-0.0111766578728097,-0.0154012537864892,-0.00641924847898495,-0.0287844105062824
"R42015-260pf_284-IR_L7",-0.00123341150342373,0.0153612646215324,0.00727602318514877,0.00276115649798158,-0.0124826398843576,-0.0236436842016457,0.00656643278867952,0.000274472613306423
"R42015-261pf_285-IR_L7",-0.0246246250468351,0.00608522265683478,-0.0117137587458706,-0.016489954353895,-0.0155650378329592,-0.0509131192355481,-0.00656275878064732,-0.0466966333929745
"R42015-262pf_286-IR_L7",-0.0248423462058231,0.00442281403090071,-0.0131081161500144,-0.0202837349505628,-0.0154502836645458,-0.0496204103643573,-0.019409930444203,-0.0489280774121894
"R42015-263pf_287-IR_L7",-0.00527455460207941,0.0124444491001062,-0.00255617507407942,-0.00396947729002379,-0.0143677422706727,-0.0201713368504497,-0.00685568683610563,-0.0243866678645377
"R42015-264pf_288-IR_L7",-0.0137676586877604,0.00771096664684746,-0.00671672200704554,-0.0215318229832951,-0.0137173724156782,-0.0317090647717005,-0.0376870113916823,-0.0297781411540272
"R42015-265pf_289-IR_L7",-0.0184772065627396,0.00561937007005195,-0.0151959914561463,-0.0262354192003465,-0.0162480222192269,-0.0290397836590013,-0.0490259713995838,-0.0594604526609479
"R42016-101pf_29-IR_L2",-0.0232919503287344,0.00408319010563282,-0.0124716626310311,-0.0278689852418482,-0.0148015213004644,-0.0280655726095527,-0.0647062995501264,-0.0550419105933392
"R42015-502pf_290-IR_L3",-0.109525693028047,-0.0368117801562159,-0.0690426801814711,-0.0550571170842937,-0.0211677897624711,-0.141893232529025,-0.0707394108025486,-0.130838188140492
"R42015-503pf_291-IR_L3",0.0191326151249197,0.0239748176733945,0.0214760406010031,0.0169901998313251,-0.00795573771426416,0.0121258154063602,0.0206635494978779,0.0172613879751875
"R42015-504pf_292-IR_L3",-0.00395305668934021,0.0132160389368458,0.00260240329487224,0.000317298042315827,-0.0121732245039696,-0.0208038294743949,0.00546801729423359,-0.0300848405757806
"R42015-505pf_293-IR_L3",0.00473093070362027,0.013874791377787,0.00684506638613597,0.0126740554959997,-0.00984493888456905,-0.00962474784222683,0.0212957698832345,-0.00705290397239037
"R42015-506pf_294-IR_L3",0.00582860695593239,0.0156284781322846,0.0155850245778208,-0.00243638000010631,-0.00276140779529263,-0.0297420227166727,0.0299090190944475,0.0464874944077827
"R42015-507pf_295-IR_L3",-0.00210330324077167,0.0124431649207399,0.00736008977610533,0.00138052973364529,-0.0111899555280922,-0.0224435011701417,0.0154597540845595,0.000279359840062461
"R42015-508pf_296-IR_L3",-0.00479256809522365,0.00963771430271208,0.00160670805277626,0.000766516608167904,-0.0119550898511431,-0.0195155979317415,-0.00181645978665688,-0.0292203147008536
"R42015-509pf_297-IR_L3",0.0142939883159801,0.0182952560253431,0.0213895532072658,0.00252750028324551,-0.00354796832239304,-0.000161788067729702,0.000133628104062295,0.0472157376540139
"R42015-510pf_298-IR_L3",0.00483226606649847,0.0166183314415528,0.00725790716606137,-0.00841293586478732,-0.011415526842847,0.00470284956892411,-0.0324587184227812,-0.0231202561763057
"R42015-511pf_299-IR_L3",0.00569667060378239,0.0152253462029296,0.011649069704011,0.0025736121538041,-0.0109906682257662,-0.0042780855560596,-0.00602649612250838,0.00272823941468054
